event_action_id,event_id,action_type_id,action_description,source_url,source_citation,source_type,notes
EA00034,E0006,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00035,E0006,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00036,E0006,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00037,E0007,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00038,E0007,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00039,E0007,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00040,E0007,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00041,E0007,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00042,E0007,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00043,E0008,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00044,E0008,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00045,E0008,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00046,E0008,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00047,E0008,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00048,E0008,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00049,E0009,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00050,E0009,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00051,E0009,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00052,E0009,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00053,E0009,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00054,E0009,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00055,E0010,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00056,E0010,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00057,E0010,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00058,E0010,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00059,E0010,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00060,E0010,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00061,E0011,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00062,E0011,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00063,E0011,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00064,E0011,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00065,E0011,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00066,E0011,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00067,E0012,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00068,E0012,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00069,E0012,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00070,E0012,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00071,E0012,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00072,E0012,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00073,E0013,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00074,E0013,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00075,E0013,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00076,E0013,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00077,E0013,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00078,E0013,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00079,E0014,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00080,E0014,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00081,E0014,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00082,E0014,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00083,E0014,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00084,E0014,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00085,E0015,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00086,E0015,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00087,E0015,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00088,E0015,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00089,E0015,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00090,E0015,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00091,E0016,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00092,E0016,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00093,E0016,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00094,E0016,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00095,E0016,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00096,E0016,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00097,E0017,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00098,E0017,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00099,E0017,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00100,E0017,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00101,E0017,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00102,E0017,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00103,E0018,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00104,E0018,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00105,E0018,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00106,E0018,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00107,E0018,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00108,E0018,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00109,E0019,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00110,E0019,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00111,E0019,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00112,E0019,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00113,E0019,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00114,E0019,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00115,E0020,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00116,E0020,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00117,E0020,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00118,E0020,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00119,E0020,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00120,E0020,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00121,E0021,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00122,E0021,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00123,E0021,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00124,E0021,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00125,E0021,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00126,E0021,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00127,E0022,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00128,E0022,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00129,E0022,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00130,E0022,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00131,E0022,AT010,Submit comment on Planning Commission case via Engage portal,https://engage.charlestoncounty.org/h1086,Charleston County Engage Portal,county_portal,Account required to submit comments
EA00132,E0023,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00133,E0023,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00134,E0023,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00135,E0023,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00136,E0023,AT010,Submit comment on Planning Commission case via Engage portal,https://engage.charlestoncounty.org/h1086,Charleston County Engage Portal,county_portal,Account required to submit comments
EA00137,E0024,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00138,E0024,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00139,E0024,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00140,E0024,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00141,E0024,AT010,Submit comment on Planning Commission case via Engage portal,https://engage.charlestoncounty.org/h1086,Charleston County Engage Portal,county_portal,Account required to submit comments
EA00142,E0025,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00143,E0025,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00144,E0025,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00145,E0025,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00146,E0025,AT010,Submit comment on Planning Commission case via Engage portal,https://engage.charlestoncounty.org/h1086,Charleston County Engage Portal,county_portal,Account required to submit comments
EA00147,E0026,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00148,E0026,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00149,E0026,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00150,E0026,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
